Business Name,Category,City,Phone Number,Website,Email
IYO Experience,Restaurant,Milano,+39 02 45476898,https://www.iyo-experience.com/,info@iyo-experience.com;booking@iyo-experience.com
La Parrilla Mexicana Milano,Restaurant,Milano,+39 0233614449,https://parrillamexicana.it/,parrillamexicana@live.com
Oriental Pleasure,Restaurant,Milano,,http://www.positanodagaspare.com/,
Contro Vento,Restaurant,Milano,+39 02 37920389,https://www.ristorantecontrovento.com/controvento/,
La Rosa dei Venti,Restaurant,Milano,+39 02 347338,http://www.ristorantelarosadeiventi.it/,info@ristorantelarosadeiventi.it
Aquarius,Restaurant,Milano,+39 02 3315093,http://www.ristoranteaquarius.com/home-1138.html,info@ristoranteaquarius.com
Little Italy,Restaurant,Milano,+39 02 2952 2734,,
Cucina In,Restaurant,Milano,+39 02 36745728,https://cucinainmilano.wordpress.com/,info@cucinainmilano.it
Pizzeria G&G,Restaurant,Milano,+39 02 33200311,,
Lleva Taps,Restaurant,Milano,+39 02 58101105,https://www.llevataps.it/,info@llevataps.it
Dal Bolognese,Restaurant,Milano,+39 02 62694845,,milano@dalbolognese.it
Ribot,Restaurant,Milano,+39 02 33001646,https://www.ribotmilano.it/,gerissrl@sicurezzapostale.it
Cotica,Restaurant,Milano,+39 02 33491083,,
l'Arca,Restaurant,Milano,+39 023083111,,
Pizza e Mozzarella,Restaurant,Milano,,https://www.pizzaemozzarella.it/,
Ghea,Restaurant,Milano,+39  02 5811 0980,http://gheavegetariano.it,info@gheavegetariano.it
Settembrini 18,Restaurant,Milano,,https://ristorantesettembrini18.it/,
Pizzeria da Lioniell,Restaurant,Milano,+39 02 72199211,,
Seven' Casa dei Ciliegi,Restaurant,Milano,+39 02 2615190,https://www.sevencasadeiciliegi.com/,info@sevengroup.it
Seven,Restaurant,Milano,+39 02 54019867,https://www.sevengroup.it/seven/index1.htm,
Ristorante Savini,Restaurant,Milano,,https://savinimilano.it/,prenotazioni@savinimilano.it
Charleston,Restaurant,Milano,+39 02 798631,https://www.ristorantecharleston.it/,
II Principe dei Navigli,Restaurant,Milano,+39 02 89126248,http://ilprincipedeinavigli.it/,ilprincipe-010@hotmail.it
California Bakery,Restaurant,Milano,+390283526866,https://californiabakery.it/,info@californiabakery.it
Langosteria Bistrot,Restaurant,Milano,+ 39 02 58107802,https://langosteria.com/langosteria-bistrot/,
I Capatosta Navigli,Restaurant,Milano,+39 02 8941 5910,https://www.icapatosta.it,icapatostamilano@gmail.com
Lanzhou Ramen,Restaurant,Milano,+39 02 29519798,,
Bon Wei,Restaurant,Milano,+39 02 341308,https://www.bon-wei.it/,mirta_oregna@yahoo.it
Osteria delle Corti,Restaurant,Milano,+39 02 33105753,https://www.osterialecorti.it/,info@osterialecorti.it
Osteria dei Vecchi Sapori,Restaurant,Milano,+39 02 6686148,http://www.vecchisapori.it/,info@vecchisapori.it
Ristorante Nuova Arena,Restaurant,Milano,+39 02 341437,http://www.nuovaarena.it/,info@nuovaarena.it
Temakinho,Restaurant,Milano,+390238236561,http://www.temakinho.com/milan-magenta/,magenta@temakinho.com
Pizzeria Santa Giulia,Restaurant,Milano,+39 0251630051,,
Affori Ristorante,Restaurant,Milano,,https://www.ristoranteaffori.com/,info@ristoranteaffori.com
Taac,Restaurant,Milano,,https://www.taactrattoria.it/,
Al Desiderio,Restaurant,Milano,+39 02 6471173,http://www.ristorantealdesiderio.it/,RISTORANTEALDESIDERIO@GMAIL.COM
Osteria del binari,Restaurant,Milano,+390289409428;+390289406753,https://www.osteriadelbinari.it/,info@osteriadelbinari.it
Polpetta,Restaurant,Milano,+390238265112,https://www.polpetta.it/milano/,
Mykonos,Restaurant,Milano,+39 02 2610209,https://www.mykonos-ristorantegreco.it/,info@mykonos-ristorantegreco.it
Asso di fiori,Restaurant,Milano,+390289409415,,
Al Garghet,Restaurant,Milano,+39 02 534698,https://algarghet.it/,info@algarghet.it
Ai 3 Scugnizzi,Restaurant,Milano,,www.ristorantepizzeriaaitrescugnizzi.com,
Osteria Il Trullo,Restaurant,Milano,+39 02 29513720,,diayed@yahoo.it
Bento Bus,Restaurant,Milano,+39 392 867 8888,,
Cantina Carducci,Restaurant,Milano,+390286452009,https://www.cantinacarducci.it/,info@cantinacarducci.it
Maitò,Restaurant,Milano,+39 02 70106788,,
Pizzeria Pupiricchiello,Restaurant,Milano,+39024075770,http://pupirichiello.it/,pupirichiello@gmail.com
Antica Trattoria Salutati,Restaurant,Milano,+39 02 463 690,,
Foyer,Restaurant,Milano,+39 02 72094338,https://gualtieromarchesi.it/ristoranti/il-marchesino,
Le Biciclette,Restaurant,Milano,+39025810 4325,http://www.lebiciclette.com,
Ponticello,Restaurant,Milano,+39 02 89415892,,
A'Riccione Terrazza 12,Restaurant,Milano,+39 323 9996512,,
Manfredi,Restaurant,Milano,,https://www.manfredimilano.com/,
Moulin Rouge,Restaurant,Milano,+39 02 2822597,,
Bottega Ghiotta,Restaurant,Milano,+39 02 39566018,https://www.bottegaghiotta.it/,info@bottegaghiotta.it
Osteria La Carbonella,Restaurant,Milano,+3902861835,,
Crocetta,Restaurant,Milano,+39 02 36632529,,infodiaz@crocetta.com
Pianeta Luna,Restaurant,Milano,+39 02 66710367,http://www.pianetaluna.it/,info@pianetaluna.it
Vima's food,Restaurant,Milano,+390284258997,https://vimasfood.com/,info@tasteofmu.com
"Trattoria Tuscana ""Il Cerchio""",Restaurant,Milano,+39 02 6700738,https://www.ilcerchiomilano1969.it/,ilcerchiomilano69@tiscali.it
La Cappelletta,Restaurant,Milano,,https://www.trattorialacappelletta.it/,lambrate@trattorialacappelletta.it
La Cuccuma Bistrot,Restaurant,Milano,+39 47768917,,
La Cuccuma,Restaurant,Milano,+39 02 2664945,http://www.lacuccuma.it/,
La locanda del Gianpy,Restaurant,San Donato Milanese,+39 02 2106 1605,,
Old Wild West,Restaurant,Milano,+39 351 848 3470,https://oldwildwest.it,
Ristorante Pizzeria Sottosopra,Restaurant,San Donato Milanese,0251800607,https://www.sottoesopra.it/menu-bistrot/,info@sottoesopra.it
Due Chef,Restaurant,Milano,+39 02 2871237,http://www.ristoranteduechef.it/,
Ribot Borghetto,Restaurant,Milano,+39 02 98670192,https://www.ribotmilano.it/ribot-borghetto/,borghetto@ribotmilano.it
Al Mercato,Restaurant,Milano,+390287237167,https://www.al-mercato.it,info@al-mercato.com
La Galeria,Restaurant,Milano,,https://www.galeriaanticatrattoria.it/,
La Playa di Taormina,Restaurant,Milano,+39028357062,,
De Pasajo Dal Marchigiano,Restaurant,Milano,,https://www.depasajodalmarchigiano.com/,
Beirut,Restaurant,Milano,+39 02 8434 7581,https://www.ristorantebeirut.it,
Osteria delizia del mare,Restaurant,Milano,+39 02 55184023,http://www.deliziedelmare.com,info@deliziedelmare.com
Warsa,Restaurant,Milano,+39 02 201673,https://www.ristorantewarsa.com/,
Osteria Scalo Farini,Restaurant,Milano,+39 02 39543506,https://www.scalofarini.it/,info@scalofarini.it
Ristorante Fiorenza,Restaurant,Milano,+390233200659;+393394038096,https://www.ristorantefiorenza.com/,neva@office.com
Antica Osteria Cavallini,Restaurant,Milano,+39 02 6693174,https://www.anticaosteriacavallini.it/,joseph@anticaosteriacavallini.it
Vasinikò,Restaurant,Milano,+39 02 65580164,https://vasiniko.com/,bergamo@vasiniko.com
Fei Yun Ge,Restaurant,Milano,+39 02 66985374,,
Le Banque,Restaurant,Milano,,https://www.lebanque.it/,
Ristorante X & C,Restaurant,Milano,+390284230646;+393319345053,http://www.ristorantexc.it/,info@ristorantexc.it
Asahi,Restaurant,Milano,+39 02 89400630,https://www.asahisushi.it/,
Shiva,Restaurant,Milano,+39 02 89404746,https://www.ristoranteshiva.it/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Capuano's,Restaurant,Milano,+390236576140,https://capuanos.it/,
Pizzeria Tradzionale Trattoria,Restaurant,Milano,,https://www.pizzeriatradizionale.com/,
La Tradizionale,Restaurant,Milano,+390242292026,https://www.latradizionale.com/,Info@latradizionale.com
Dongiò,Restaurant,Milano,+39 3492761011,https://dongio.it/,ristorantedongio@gmail.com
Enoteca Huaxia,Restaurant,Milano,+39 02 87240358,http://www.enotecahuaxia.com/,info@enotecahuaxia.com
Piscinin Ristorante,Restaurant,Milano,+39 02 49668859,http://www.piscinin.it,
Spontini,Restaurant,Milano,+390283660098,https://spontinimilano.com/pizzerie/MILANO-PAPINIANO/,info@spontinimilano.com
Acero,Restaurant,Milano,+39 02 8322675,http://www.ristoranteacero.it/,
Tasca,Restaurant,Milano,,https://www.iltasca.it/,
God Save the Food,Restaurant,Milano,+390289423806,https://www.godsavethefood.it/ristoranti/tortona/,tortona@godsavethefood.it
Dalla Pagnotta,Restaurant,Milano,+39 02 89093722,,
Rugantino,Restaurant,Milano,+390289421404,https://www.rugantinomilano.com/,
Panda Club Restaurant,Restaurant,Milano,+393391767230,,
Vòce Aimo e Nadia,Restaurant,Milano,+393493273374,https://www.voceaimoenadia.com/,info@voceaimoenadia.com
Sottobosco: Ristoro di Quartiere,Restaurant,Milano,+390239289510,https://www.sottoboscomilano.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
13 Giugno di Brera,Restaurant,Milano,+39 02 29003300,http://www.13giugnobrera.it/sito/,info@13giugnobrera.it
Shiki,Restaurant,Milano,,https://shiki.app,
Flash,Restaurant,Milano,+39 02 5830 4489,,
Bucataria de a casa,Restaurant,San Donato Milanese,+39 0251800008,https://bucatariadeacasa.com/it/,
Jam Grill House,Restaurant,Milano,+39 340 6262923,https://www.jam-milano.it/,info@jam-milano.it
Pizzeria San Giorgio,Restaurant,Milano,+390236507560,,
Gino's,Restaurant,Milano,+3902805081,,
Pani e Tulipani,Restaurant,Milano,,https://www.ristorantepanetulipani.it/,contact@markups.io
Langosteria 10,Restaurant,Milano,+390280025810,https://langosteria.com/langosteria-cucina/,
Mozzarella e basilico,Restaurant,Milano,+39 289092613,,
Mamma Farina,Restaurant,Milano,+39 02 43129037,https://www.mammafarina.com/,
SushiYo,Restaurant,Milano,+39 02 66711096,,
Ristorante La Piedra del Sol,Restaurant,Milano,+39 377 3237127;+39 02 6691901,https://piedradelsol.it/,
Bar Trattoria Victoire,Restaurant,Milano,+39 02 55195935,,
Pizzeria Karinans,Restaurant,Milano,+39 02 70123801,,
Osteria Brunello,Restaurant,Milano,+39 02 6592973,https://www.osteriabrunello.it/,info@osteriabrunello.it
Zushi,Restaurant,Milano,+39 02 65560892,https://www.zushi.eu/Milano/it/page/index1,milano@zushi.eu
Il Tavolino,Restaurant,Milano,+39 02 6703520,http://www.altavolino.it/,info@altavolino.it
L'Osteria di Brera,Restaurant,Milano,+39 02 8909 6628,https://www.osteriadibrera.it/,info@osteriadibrera.it
Pizza Italiana,Restaurant,Milano,+39 02 3954 3711,,
Rosso di Brera,Restaurant,Milano,+39 02 83538580,https://www.rossobrera.com/,info@rossobrera.com
Ta Hua,Restaurant,Milano,+39 02 66987042,http://www.tahua.org/,
Taverna del Borgo Antico,Restaurant,Milano,+39 02 86461186,https://www.tavernadelborgoantico.it/,info@tavernadelborgoantico.it
Osterialnove,Restaurant,Milano,+39 02 66825162,https://osterialnove.com/,osterialnove@osterialnove.com
Old Wild West,Restaurant,Milano,+39 02 69004434,https://www.oldwildwest.it/code/20026/Milano-Zara,zara@oldwildwest.it
Osteria del Sognatore,Restaurant,Milano,,http://www.osteriadelsognatore.it/,prenotazioni@osteriadelsognatore.it
Ristorante Pizzeria Notre Dame,Restaurant,Milano,,http://www.ristorantepizzerianotredame.it/,
Alla collina pistoiese,Restaurant,Milano,+39 02 86451085,http://www.allacollinapistoiesi.it/,info@lecollinepistoiesi.it
Bio Pizza,Restaurant,Milano,+39 02 86452131,,info@biopizzamilano.it
.jpeg,Restaurant,Milano,+39 02 89092280,,info@jpeg-milano.it
Papas and Beer,Restaurant,Milano,+39 02 72021827,http://www.papasandbeer.it/,milano@papasandbeer.it
Caffè Italia,Restaurant,Milano,+390238294844,https://www.cafeitaliamilano.com/,cafeitaliamilano@gmal.com
Little Italy Pizza,Restaurant,Milano,+39 02 6901 6034,https://littleitalyborsieri.cristianoandpartners.it/,
Yao Fusion Restaurant Isola,Restaurant,Milano,+39026081604,,
California Bakery,Restaurant,Milano,,https://californiabakery.it/locations/corso-como.html,info@californiabakery.it
Vista Duomo,Restaurant,Milano,,https://ristorantevistaduomo.it/,info@ristorantevistaduomo.it
Osteria La Vecchia Lira,Restaurant,Milano,+39 02 6599136,http://osteriavecchialira.it/it/home,info@osteriavecchialira.it
Verger,Restaurant,Milano,+39 02 86998276,http://verger.it/,info@verger.it
Ristorante Santa Marta,Restaurant,Milano,+39 02 8052090,https://www.santamartamilano.com/,info@santamartasuites.com
Trattoria Milanese,Restaurant,Milano,+39 02 86451991,,
Tre Cristi,Restaurant,Milano,+39 02 29062923,https://www.trecristimilano.com/,info@trecristimilano.com
Osteria Dal Verme,Restaurant,Milano,+39 02 66802223,https://www.osteriadalverme.it,roberto@osteriadalverme.it
L'Isola del gusto,Restaurant,Milano,,http://www.lisoladelgusto.info/?page_id=12,
Torre di Pisa,Restaurant,Milano,+39 02 874877,https://www.trattoriatorredipisa.it/,
Kiki,Restaurant,Milano,+39 02 97696721,https://kikimilano.com/,info@kikimilano.it
OPERAZIONE SAN GENNARO,Restaurant,Milano,,http://operazionesangennaro.it/,info@operazionesangennaro.it
California Bakery,Restaurant,Milano,,https://californiabakery.it/locations/sant-ambrogio.html,info@californiabakery.it
Ristorante Toscano al Pozzo,Restaurant,Milano,,http://www.ristorantealpozzo.it/,info@ristorantealpozzo.it
Pizzeria Il Faraone,Restaurant,Milano,+39 327 6293637,http://www.pizzeriailfaraone.com/,disgau@gmail.com
Kota-Radja,Restaurant,Milano,+39 02 468850,https://www.ristorantecinesekotaradja.it/,kotaradja@fastwebnet.it
L'Altra Isola,Restaurant,Milano,+39 02 60830205,,
Filante,Restaurant,Milano,+390243416280,https://filantepizza.com/,
Grani & Braci,Restaurant,Milano,+39 02 36637422,http://www.graniebraci.it/it/ristorante-pizzeria-steak-house-milano,
Muu Sushi,Restaurant,Milano,,https://muusushi.it/,
Kamii,Restaurant,Milano,0229532692,,
Mamma Rosa,Restaurant,Milano,,https://osteriamammarosa.it/,info@osteriamammarosa.it
BLAH Bar,Restaurant,Milano,+39 02 39669441,,
L'aragosta d'Oro,Restaurant,Milano,,http://ristorantearagostadoro.it/,
Huba restaurant cafè,Restaurant,Milano,+39 02 36593961,,
Il Camino da Ugo,Restaurant,San Donato Milanese,+39 025273354,https://www.ilcaminodaugo.it/,ilcamino2022@gmail.com
Osteria della Pasta e Fagioli,Restaurant,Milano,+39 02 2614 8014,https://www.osteriadellapastaefagioli.it/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Piadineria Artigianale Pascoli,Restaurant,Milano,,http://piadineriapascoli.com/,
Casanori,Restaurant,Milano,+39 02 36742016,https://casanorimilano.it/,info@casanorimilano.it
AD Sushi and More,Restaurant,Milano,+39 02 94767331,http://www.adsushi.it/,
Kagurazaka Saryō Milano,Restaurant,Milano,+39 02 9234 5494,https://www.saryomilano.com/,info@ayacompanyeu.com
Alla Cucina delle Langhe,Restaurant,Milano,+39 02 6554279,http://www.trattoriaallelanghe.com/,
Non Solo Pizza,Restaurant,Milano,+39 02 70639268,nonsolopizzamilano.com,
La Vineria,Restaurant,Milano,+39 02 83242440,http://www.la-vineria.it/,
Osteria di Via Prè,Restaurant,Milano,+39 366 1597478,https://www.viapre.it/,info@viapre.it
Rossopomodoro,Restaurant,Milano,+39 02 36597898,https://ristoranti.rossopomodoro.it/navigliograndemilano-283a40778d28,
Pizzeria Napoli 1820,Restaurant,Milano,+39 02 3652 4578,https://www.napoli1820.com,
Canaletto Bistrot,Restaurant,Milano,+0236588809,https://canalettobistrot.it/,bistrotcanaletto@gmail.com
Vetusta Insigna,Restaurant,Milano,+390245375347,https://www.vetustainsigna.it/,vetustainsigna.alt99@gmail.com
Acquasala,Restaurant,Milano,+39 02 89423983,https://www.acquasala.it/,
Le Vigne,Restaurant,Milano,+39 02 5811 3224,https://www.facebook.com/pages/Le-Vigne/172579989421123,
La Pianta,Restaurant,Milano,,http://www.pizzerialapiantadiaffori.it/,
Buona Forchetta,Restaurant,Milano,,,buonaforchettamilano@yahoo.it
Osteria di Porta Cicca,Restaurant,Milano,+39 02 8372763,,
Posto di Conversazione,Restaurant,Milano,+39 02 91943999,https://osteriapostodiconversazione.it/,cropped-posto-di-conversazione@SimonaBrunoPh-1-scaled-1-32x32.jpg
Il Mannarino Navigli,Restaurant,Milano,+39 02 36744518,,
Al Porto,Restaurant,Milano,,https://alportomilano.it/,info@alportomilano.it
Il Piccolo Padre,Restaurant,Milano,+39023494906,https://ilpiccolopadremilano.com/,adel.saad@hotmail.it
Wasabi,Restaurant,Milano,+39 02 72008297,https://www.wasabimilano.it/,wasabimilano88@gmail.it
Ristorante Il Cestino,Restaurant,Milano,+39 02 86460146,https://ristoranteilcestino.it/,info@ristoranteilcestino.it
Pizzeria Ranch Roberta,Restaurant,Milano,+39 02 462306,https://www.ristoranteranchroberta.com/,ristoranch@yahoo.it
2 Orsi,Restaurant,Milano,,http://benvenuti.trattoria2orsi.it/,
Chiù,Restaurant,Milano,+39 02 39400694,https://www.chiu.eu/,info@chiu.eu
Crotto Quartino,Restaurant,Milano,,https://www.crottoquartino.it/,
Antica Trattoria della Pesa,Restaurant,Milano,+39 02 6555741,http://www.anticatrattoriadellapesa.com/,francisassi71@yahoo.it
La Griglia di Varrone,Restaurant,Milano,+39 02 36798388,http://milano.grigliavarrone.com/,info@grigliavarrone.com
Trattoria Milano la Fornasetta,Restaurant,Milano,+39 02 2579774,https://www.trattoriamilano.com/,lafornasetta@live.it
Quattro Mori,Restaurant,Milano,+39 02 878483,https://www.ristorantequattromori.it/,info@ristorantequattromori.it
Farinella,Restaurant,Milano,+39 02 89095084,,
Manzoni Romantic Cafè,Restaurant,Milano,+39 02 76008336,,
Petrus,Restaurant,Milano,,https://petrus1935.com/,info@petrus1935.com
Ristorante Cocopazzo,Restaurant,Milano,,https://www.ristorantecocopazzo.it/,
Fresco,Restaurant,Milano,,,info@viadante16.com
Fresco & Cimmino,Restaurant,Milano,+39 02 97374869,https://www.frescocimmino.it/,info@frescoecimmino.it
Da Martino,Restaurant,Milano,+39 02 6554974,https://damartino1950.com/,
Myke My Kitchen,Restaurant,Milano,+39 02 36741567,https://www.mykitchenexperience.it/,info@mykitchenexperience.it
Mics,Restaurant,Milano,+39 02 36764500,http://www.mics.eu.com,
Poporoya,Restaurant,Milano,+39 02 251 7686,,
Pescetto,Restaurant,Milano,+39 02 36754184,,
Pizza Am San Donato,Restaurant,San Donato Milanese,+39 0284045478,,
Terrazza Calabritto,Restaurant,Milano,,https://milano.terrazzacalabritto.it/,
Isola Greca,Restaurant,Milano,+39 02 63470524,https://isolagreca.it/,
La Filetteria Italiana,Restaurant,Milano,+39 02 49787912,https://www.lafiletteriaitaliana.it/,
Volemose bene,Restaurant,Milano,+39 02 89690870,https://www.volemosebenemilano.it/,
Riad Marrakech,Restaurant,Milano,,http://www.restaurant-riad-marrakech.com/,
La collina d'oro,Restaurant,Milano,+39 02 404 3148,https://www.lacollinadoro.com/,info@lacollinadoro.com
Pizzeria Spontini,Restaurant,Milano,+390234593686,http://www.pizzeriaspontini.it,
Da Luigi e Anna,Restaurant,Milano,+39 02 8940 6157,,
Vesta Fiori Chiari,Restaurant,Milano,+39 02 49500590,https://vestafiorichiari.com/,info@vestafiorichiari.com
Serendipico,Restaurant,Milano,+39 02 72093846,https://www.serendepicomilano.it/,jessica@serendepicomilano.it
Stravagario Bistrot,Restaurant,Milano,,https://www.stravagariobistrot.it/,info@stravagariobistrot.it
Berberè,Restaurant,Milano,+39 02 36707820,https://www.berberepizza.it/#,Raggruppa-277@2x.png
Corti Abbadesse,Restaurant,Milano,,http://www.cortiabbadesse.it/,
La Prosciutteria,Restaurant,Milano,+39 02 67174892,https://www.laprosciutteria.com/milano-isola/,Isola@gegsrlmilano.it
Takumi fusion restaurant,Restaurant,Milano,+390236568039,https://www.ristorantetakumi.it/,
Zio Pesce,Restaurant,Milano,+39 02 49794967,http://www.ziopesce.it/,
U Barba,Restaurant,Milano,,https://www.ubarba.it/u_barba_osteria_genovese_milano/U_BARBA.html,
Osteria Conchetta,Restaurant,Milano,,https://osteriaconchetta.it/,info@osteriaconchetta.it
Ristorante La Scogliera,Restaurant,Milano,+390287250603,https://www.facebook.com/people/La-Scogliera/100070896019619/,
Osteria Angelino,Restaurant,Milano,+39 02 98998143,http://www.osteriaangelino.com/ristorante-angelino-milano/,milano@osteriaangelino.com
Ristorante Limone,Restaurant,Milano,+39 02 6693019,https://www.ristorantelimone.it/,info@ristorantelimone.it
Hosteria La Cadrega,Restaurant,Milano,+39 02 67382931,http://www.hosterialacadrega.it/,info@hosterialacadrega.it
Antares,Restaurant,Milano,+39 02 66985651,https://www.antaresristorante.it/,info@antaresristorante.it
Nima,Restaurant,Milano,+39 02 98670015,https://www.nimasushi.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Ristorante Berton,Restaurant,Milano,+39 02 67075801,https://www.ristoranteberton.com/it/,info@ristoranteberton.com
Mexicali,Restaurant,Milano,+39 02 60830042,https://mexicali.it/i-locali/milano-valtellina/,
La Locanda del Gatto Rosso,Restaurant,Milano,+39 02 72022411,https://www.lalocandadelgattorosso.it/,info@lalocandadelgattorosso.it
La Cantina,Restaurant,Milano,+39 02 84893595,,
Kitchen,Restaurant,Milano,+39 02 84895749,http://www.kitchenristorante.com,
Zaza Ramen,Restaurant,Milano,+39 02 36799000,https://zazaramen.it/,info@zazaramen.it
Ristorante Solferino,Restaurant,Milano,+39 02 29005748,https://www.ilsolferino.com/,info@ilsolferino.com
La Briciola,Restaurant,Milano,,http://www.labriciolamilano.it/,labriciola@labriciola.com
Meatbar,Restaurant,Milano,+39 02 6596249,http://www.meatbar.it/,info@meatbar.it
La briciola mare,Restaurant,Milano,,https://www.labriciolamare.com/,
Wasabi,Restaurant,Milano,+39 02 36527340; +39 333 432 5731,https://wasabimilano.it,wasabimilano88@gmail.it
Ristorante La bisBistecca,Restaurant,Milano,+39 02 63793846,http://www.labisbistecca.com/,info@labisbistecca.com
Ba Hot Pot,Restaurant,Milano,+39 02 97807365,https://www.bahotpot.com/,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com
Da Pippo si magna,Restaurant,Milano,+39 02 683724,,
Le Chalet,Restaurant,Milano,+39 02 66983969,,
Il Tegamino,Restaurant,Milano,+39 02 28970925,http://www.iltegamino.it/,
Riso e Latte,Restaurant,Milano,+39 02 39831040,http://www.risoelatte.it/,info@risoelatte.it
Wakaba,Restaurant,Milano,+39 0270003841,http://www.wakabaizakaya.com/,
Viveca,Restaurant,Milano,+39 02 20404914,http://www.viveca.it/,
Mosobna,Restaurant,Milano,+39 324 6004065,,
L'Aquila d'Oro,Restaurant,Milano,+39 02 6080703,http://www.laquiladoro.it/,info@laquiladoro.it
Puglia Mia,Restaurant,Milano,,https://pugliamiamilano.it/,dc.colonnello@gmail.com
Naviglio 48,Restaurant,Milano,+390245440651,https://naviglio-48-restaurant.business.site/,
Osteria del mare,Restaurant,Milano,+39 328 5873999,,
Il brutto anatroccolo,Restaurant,Milano,+39 02 8322222,,
Maruzella,Restaurant,Milano,,https://www.pizzeriamaruzzellamilano.it/,ristorantemaruzzellaoberdan3@gmail.com
I Tesori del Mare,Restaurant,Milano,+39 02 65560906,http://www.itesoridelmare.com/,info@itesoridelmare.com
Domò,Restaurant,Milano,,https://www.domosushi.it/,
Il Liberty,Restaurant,Milano,+39 02 29011439,https://www.il-liberty.it/,info@il-liberty.it
Osteria Afrodite,Restaurant,Milano,,https://www.osteriaafrodite.com/,afrodite@osteriaafrodite.it
Amarcord,Restaurant,Milano,,http://www.ristoranteamarcord.net/,info@ristoranteamarcord.net
L'Antro della Sibilla,Restaurant,Milano,+39 02 67481054,https://www.antrodellasibilla.com/,info@antrodellasibilla.com
Il Mannarino,Restaurant,Milano,+39 02 36745210,https://www.ilmannarino.it/,tenca@ilmannarino.it
Su Garden,Restaurant,Milano,+39 333 404 8517,https://www.sugarden.it/,gdellacorte@sugarden.it
Malastrana,Restaurant,Milano,+39 02 846 7395,,
Ciccio Pizza,Restaurant,Milano,+39 02 49539720,,
Red and white bar Snc,Restaurant,Milano,+39 02 412 2023,,
Acanto,Restaurant,Milano,+39 02 62302026,,
Frangente,Restaurant,Milano,+39 02 96844851,https://www.frangentemilano.com/,info@frangentemilano.com
Banco Popolare Pugliese,Restaurant,Milano,,https://www.bancopopolarepugliese.com/,
Nàpiz',Restaurant,Milano,+39 02 39435143,,
Uzbek,Restaurant,Milano,,https://ristorante-uzbek.com/,
Vento di Sardegna,Restaurant,Milano,+390289093710,https://www.ristoranteventodisardegna.it/,
Kobe,Restaurant,Milano,+390258105727;+393339065756,https://kobemilano.it/,kobemilano189@gmail.com
Osteria da Zio Ninì,Restaurant,Milano,+39 02 33490988,,
Ristorante L'Oasi,Restaurant,Milano,+39 02 33007184,http://www.ristoranteoasimilano.it,
Ristorante Cinese Felice,Restaurant,Milano,+390239260292,,
Jubin,Restaurant,Milano,+39 02 33106728,,
Pizza D'ok,Restaurant,Milano,,www.pizzadokmilano.it/,
La Taberna,Restaurant,Milano,+39 02 89126204,,
Simon's,Restaurant,Milano,+39 02 72016028,,teresa.romanello@yahoo.it
Sumire,Restaurant,Milano,+39 02 91471595,,ristorantesumiremilano@gmail.com
Lievità Pizzeria gourmet,Restaurant,Milano,+39 02 40701453,https://www.pizzeria-lievita.com,
Mun,Restaurant,Milano,+39 02 6599030,http://www.ristorantemun.it/,
